,OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
49,1/10/2015,12/26/2001,SO45126,311,12480,7,1,1
50,1/11/2015,9/22/2001,SO45136,312,19084,9,1,1
51,1/11/2015,11/30/2001,SO45130,313,14975,10,1,1
52,1/11/2015,12/13/2001,SO45134,314,22895,6,1,1
53,1/11/2015,11/13/2001,SO45138,349,11452,9,1,1
54,1/11/2015,12/7/2001,SO45132,350,25985,4,1,1
55,1/11/2015,10/10/2001,SO45137,310,18735,9,1,1
56,1/11/2015,9/26/2001,SO45133,314,29163,1,1,1
57,1/11/2015,9/14/2001,SO45131,344,25979,1,1,1
58,1/11/2015,12/3/2001,SO45135,310,29264,4,1,1
59,1/12/2015,12/25/2001,SO45141,312,29222,4,1,1
60,1/12/2015,12/25/2001,SO45143,310,29278,4,1,1
61,1/12/2015,12/26/2001,SO45142,311,22901,6,1,1
62,1/12/2015,11/28/2001,SO45145,314,18716,9,1,1
63,1/12/2015,11/25/2001,SO45144,311,19093,9,1,1
64,1/12/2015,11/17/2001,SO45140,312,12485,7,1,1
65,1/12/2015,9/25/2001,SO45139,314,12468,7,1,1
66,1/13/2015,12/10/2001,SO45148,342,14656,1,1,1
67,1/13/2015,11/28/2001,SO45147,312,29166,4,1,1
68,1/13/2015,9/25/2001,SO45146,310,14950,10,1,1
69,1/14/2015,12/8/2001,SO45149,314,14941,10,1,1
70,1/14/2015,12/24/2001,SO45154,313,18767,9,1,1
71,1/14/2015,11/27/2001,SO45151,314,29202,1,1,1
72,1/14/2015,9/18/2001,SO45150,346,25980,1,1,1
73,1/14/2015,12/30/2001,SO45157,344,11750,9,1,1
74,1/14/2015,10/13/2001,SO45156,344,11465,9,1,1
75,1/14/2015,11/5/2001,SO45155,312,18900,9,1,1
76,1/14/2015,12/8/2001,SO45153,310,19089,9,1,1
77,1/14/2015,12/25/2001,SO45152,310,29276,1,1,1
78,1/15/2015,12/19/2001,SO45162,312,18721,9,1,1
79,1/15/2015,12/5/2001,SO45158,344,28419,7,1,1
80,1/15/2015,10/19/2001,SO45163,328,25714,9,1,1
81,1/15/2015,10/26/2001,SO45159,349,11400,10,1,1
82,1/15/2015,11/20/2001,SO45161,349,25978,4,1,1
83,1/15/2015,10/11/2001,SO45160,310,14984,10,1,1
84,1/15/2015,10/4/2001,SO45164,349,11453,9,1,1
85,1/16/2015,12/23/2001,SO45167,311,18706,9,1,1
86,1/16/2015,12/8/2001,SO45169,314,18766,9,1,1
87,1/16/2015,12/23/2001,SO45171,345,11754,9,1,1
88,1/16/2015,9/30/2001,SO45170,351,11462,9,1,1
89,1/16/2015,12/26/2001,SO45166,312,19083,9,1,1
90,1/16/2015,10/23/2001,SO45168,312,18738,9,1,1
91,1/16/2015,12/31/2001,SO45165,313,22881,6,1,1
92,1/17/2015,9/29/2001,SO45172,334,18008,7,1,1
93,1/17/2015,11/22/2001,SO45176,313,29254,1,1,1
94,1/17/2015,11/29/2001,SO45174,313,29198,4,1,1
95,1/17/2015,10/30/2001,SO45179,351,11457,9,1,1
96,1/17/2015,12/17/2001,SO45178,347,11456,9,1,1
97,1/17/2015,10/28/2001,SO45177,314,18903,9,1,1
98,1/17/2015,10/30/2001,SO45173,314,29157,4,1,1
99,1/17/2015,10/23/2001,SO45175,313,29238,4,1,1
100,1/18/2015,11/30/2001,SO45180,311,15046,10,1,1
101,1/18/2015,10/1/2001,SO45184,320,25717,9,1,1
102,1/18/2015,1/1/2002,SO45183,334,25711,9,1,1
103,1/18/2015,10/25/2001,SO45181,310,14929,10,1,1
104,1/18/2015,12/11/2001,SO45185,310,14949,10,1,1
105,1/18/2015,10/25/2001,SO45182,312,18769,9,1,1
106,1/19/2015,11/17/2001,SO45186,313,14991,10,1,1
107,1/19/2015,10/6/2001,SO45191,328,14660,1,1,1
108,1/19/2015,10/18/2001,SO45187,310,15047,10,1,1
109,1/19/2015,11/15/2001,SO45188,311,14861,10,1,1
110,1/19/2015,12/8/2001,SO45190,313,18931,9,1,1
111,1/19/2015,12/3/2001,SO45189,310,29145,1,1,1
112,1/20/2015,11/22/2001,SO45196,311,18739,9,1,1
113,1/20/2015,11/2/2001,SO45195,313,18929,9,1,1
114,1/20/2015,10/4/2001,SO45193,310,22889,6,1,1
115,1/20/2015,11/21/2001,SO45194,313,29221,4,1,1
116,1/20/2015,1/5/2002,SO45192,314,14846,10,1,1
117,1/20/2015,10/3/2001,SO45197,314,18902,9,1,1
118,1/21/2015,11/22/2001,SO45201,312,29168,4,1,1
119,1/21/2015,12/19/2001,SO45199,346,29476,8,1,1
120,1/21/2015,1/5/2002,SO45200,311,29148,4,1,1
121,1/21/2015,11/17/2001,SO45204,345,11460,9,1,1
122,1/21/2015,12/14/2001,SO45203,314,18907,9,1,1
123,1/21/2015,10/12/2001,SO45202,314,19094,9,1,1
124,1/21/2015,9/28/2001,SO45198,313,14847,10,1,1
125,1/22/2015,12/10/2001,SO45213,349,11464,9,1,1
126,1/22/2015,11/22/2001,SO45207,312,29156,4,1,1
127,1/22/2015,10/1/2001,SO45211,311,18724,9,1,1
128,1/22/2015,10/28/2001,SO45212,314,18729,9,1,1
129,1/22/2015,10/7/2001,SO45208,344,19884,6,1,1
130,1/22/2015,1/6/2002,SO45209,314,29201,4,1,1
131,1/22/2015,10/11/2001,SO45210,311,29239,4,1,1
132,1/22/2015,1/6/2002,SO45206,313,12474,7,1,1
133,1/22/2015,12/25/2001,SO45205,344,28420,7,1,1
134,1/23/2015,11/11/2001,SO45215,312,29208,1,1,1
135,1/23/2015,10/6/2001,SO45214,310,12464,7,1,1
136,1/23/2015,10/14/2001,SO45216,313,29261,4,1,1
137,1/24/2015,11/1/2001,SO45217,314,29144,1,1,1
138,1/24/2015,10/14/2001,SO45219,313,22893,6,1,1
139,1/24/2015,10/22/2001,SO45222,330,14728,1,1,1
140,1/24/2015,10/24/2001,SO45221,314,22903,6,1,1
141,1/24/2015,12/4/2001,SO45220,312,29207,1,1,1
142,1/24/2015,12/18/2001,SO45223,312,18930,9,1,1
143,1/24/2015,10/23/2001,SO45224,311,18723,9,1,1
144,1/24/2015,11/20/2001,SO45218,345,25982,1,1,1
145,1/25/2015,11/25/2001,SO45228,314,18768,9,1,1
146,1/25/2015,10/8/2001,SO45226,342,14662,4,1,1
147,1/25/2015,11/20/2001,SO45225,338,14653,4,1,1
148,1/25/2015,12/11/2001,SO45227,322,14726,1,1,1
149,1/26/2015,11/21/2001,SO45232,310,18736,9,1,1
150,1/26/2015,12/13/2001,SO45233,344,11472,9,1,1
151,1/26/2015,11/30/2001,SO45231,314,18908,9,1,1
152,1/26/2015,11/9/2001,SO45229,349,11387,10,1,1
153,1/27/2015,11/24/2001,SO45236,312,18731,9,1,1
154,1/27/2015,12/14/2001,SO45234,328,18009,7,1,1
155,1/27/2015,11/27/2001,SO45235,314,29147,1,1,1
156,1/27/2015,1/11/2002,SO45237,314,18737,9,1,1
157,1/27/2015,11/15/2001,SO45238,346,11459,9,1,1
158,1/28/2015,11/15/2001,SO45242,311,29223,1,1,1
159,1/28/2015,12/11/2001,SO45240,310,29155,1,1,1
160,1/28/2015,12/25/2001,SO45241,311,29203,4,1,1
161,1/28/2015,11/16/2001,SO45244,350,11756,9,1,1
162,1/28/2015,12/25/2001,SO45243,334,25715,9,1,1
163,1/29/2015,11/24/2001,SO45245,310,18928,9,1,1
164,1/29/2015,11/3/2001,SO45246,310,18709,9,1,1
165,1/29/2015,12/30/2001,SO45247,334,25716,9,1,1
166,1/29/2015,1/7/2002,SO45248,344,11451,9,1,1
167,1/30/2015,10/19/2001,SO45254,314,29252,4,1,1
168,1/30/2015,12/14/2001,SO45258,340,25712,9,1,1
169,1/30/2015,12/16/2001,SO45253,314,29237,4,1,1
170,1/30/2015,10/22/2001,SO45256,336,14664,4,1,1
171,1/30/2015,10/16/2001,SO45255,314,29258,1,1,1
172,1/30/2015,11/5/2001,SO45250,310,14147,8,1,1
173,1/30/2015,11/8/2001,SO45251,334,19422,8,1,1
174,1/30/2015,1/4/2002,SO45249,310,14928,10,1,1
175,1/30/2015,1/15/2002,SO45257,314,18718,9,1,1
176,1/30/2015,11/15/2001,SO45252,312,22877,6,1,1
177,1/31/2015,11/30/2001,SO45262,313,29265,4,1,1
178,1/31/2015,10/15/2001,SO45259,314,29225,1,1,1
179,1/31/2015,10/18/2001,SO45264,349,11454,9,1,1
180,1/31/2015,12/10/2001,SO45261,312,29175,1,1,1
181,1/31/2015,10/5/2001,SO45263,340,14722,1,1,1
182,1/31/2015,10/8/2001,SO45265,350,11461,9,1,1
183,1/31/2015,10/5/2001,SO45260,310,29150,1,1,1
184,2/1/2015,11/16/2001,SO45345,313,15048,10,1,1
185,2/1/2015,12/7/2001,SO45349,312,19568,9,1,1
186,2/1/2015,11/19/2001,SO45347,342,14733,4,1,1
187,2/1/2015,12/6/2001,SO45348,311,19562,9,1,1
188,2/1/2015,1/10/2002,SO45350,311,19613,9,1,1
189,2/2/2015,12/31/2001,SO45354,340,19432,8,1,1
190,2/2/2015,1/2/2002,SO45352,313,15081,10,1,1
191,2/2/2015,1/1/2002,SO45356,313,19096,9,1,1
192,2/2/2015,10/28/2001,SO45353,310,28630,6,1,1
193,2/2/2015,1/7/2002,SO45355,312,28778,6,1,1
194,2/2/2015,12/14/2001,SO45351,313,12520,7,1,1
195,2/3/2015,1/9/2002,SO45358,312,23172,6,1,1
196,2/3/2015,12/1/2001,SO45357,351,28443,7,1,1
197,2/3/2015,11/23/2001,SO45361,312,23057,6,1,1
198,2/3/2015,11/7/2001,SO45360,313,28036,6,1,1
199,2/3/2015,11/25/2001,SO45362,313,19271,9,1,1
200,2/3/2015,12/21/2001,SO45359,313,11227,4,1,1
201,2/3/2015,12/15/2001,SO45363,312,19565,9,1,1
202,2/4/2015,11/17/2001,SO45364,311,14161,8,1,1
203,2/4/2015,11/11/2001,SO45366,330,18011,7,1,1
204,2/4/2015,12/13/2001,SO45365,313,15078,10,1,1
205,2/4/2015,12/31/2001,SO45369,314,19269,9,1,1
206,2/4/2015,12/23/2001,SO45370,312,19270,9,1,1
207,2/4/2015,11/6/2001,SO45368,328,14732,1,1,1
208,2/4/2015,10/10/2001,SO45367,328,20561,10,1,1
209,2/5/2015,1/8/2002,SO45375,313,19596,9,1,1
210,2/5/2015,12/16/2001,SO45376,344,11761,9,1,1
211,2/5/2015,11/18/2001,SO45371,310,15062,10,1,1
212,2/5/2015,11/28/2001,SO45372,348,28449,7,1,1
213,2/5/2015,10/30/2001,SO45374,312,22996,6,1,1
214,2/5/2015,10/24/2001,SO45373,349,25994,1,1,1
215,2/6/2015,1/12/2002,SO45384,338,26789,6,1,1
216,2/6/2015,1/15/2002,SO45380,324,18010,7,1,1
217,2/6/2015,12/10/2001,SO45377,313,15077,10,1,1
218,2/6/2015,10/24/2001,SO45381,344,19988,6,1,1
219,2/6/2015,1/17/2002,SO45382,313,11129,1,1,1
220,2/6/2015,12/6/2001,SO45378,310,28178,6,1,1
221,2/6/2015,10/12/2001,SO45383,332,14734,1,1,1
222,2/6/2015,10/29/2001,SO45385,334,14735,1,1,1
223,2/6/2015,10/13/2001,SO45379,313,28363,6,1,1
224,2/6/2015,12/12/2001,SO45386,312,19607,9,1,1
225,2/7/2015,12/24/2001,SO45388,350,25986,1,1,1
226,2/7/2015,1/2/2002,SO45390,310,19560,9,1,1
227,2/7/2015,1/14/2002,SO45392,344,11762,9,1,1
228,2/7/2015,10/10/2001,SO45391,313,19588,9,1,1
229,2/7/2015,12/19/2001,SO45387,310,11224,1,1,1
230,2/7/2015,1/8/2002,SO45389,310,11090,4,1,1
231,2/8/2015,1/20/2002,SO45394,348,11468,10,1,1
232,2/8/2015,12/3/2001,SO45395,313,29352,4,1,1
233,2/8/2015,12/15/2001,SO45393,312,14171,8,1,1
234,2/8/2015,10/15/2001,SO45396,312,19594,9,1,1
235,2/9/2015,10/12/2001,SO45397,313,15051,10,1,1
236,2/9/2015,1/1/2002,SO45398,312,15059,10,1,1
237,2/10/2015,12/1/2001,SO45400,313,14162,8,1,1
238,2/10/2015,12/24/2001,SO45406,351,25987,4,1,1
239,2/10/2015,10/26/2001,SO45401,310,15058,10,1,1
240,2/10/2015,1/13/2002,SO45405,312,23209,6,1,1
241,2/10/2015,11/22/2001,SO45409,312,19612,9,1,1
242,2/10/2015,12/10/2001,SO45402,344,11413,10,1,1
243,2/10/2015,11/30/2001,SO45404,310,11217,1,1,1
244,2/10/2015,12/21/2001,SO45407,314,29285,4,1,1
245,2/10/2015,10/25/2001,SO45408,314,29326,4,1,1
246,2/11/2015,1/6/2002,SO45419,314,19555,9,1,1
247,2/11/2015,1/12/2002,SO45412,310,23137,6,1,1
248,2/11/2015,12/12/2001,SO45417,310,28620,6,1,1
249,2/11/2015,12/26/2001,SO45410,310,14149,8,1,1
250,2/11/2015,12/16/2001,SO45416,310,28161,6,1,1
251,2/11/2015,11/8/2001,SO45411,313,28197,6,1,1
252,2/11/2015,11/7/2001,SO45414,330,18038,7,1,1
253,2/11/2015,10/22/2001,SO45413,312,11191,4,1,1
254,2/11/2015,10/31/2001,SO45418,311,19264,9,1,1
255,2/11/2015,1/15/2002,SO45421,313,19576,9,1,1
256,2/11/2015,11/2/2001,SO45415,312,28092,6,1,1
257,2/11/2015,12/12/2001,SO45420,313,19561,9,1,1
258,2/12/2015,11/3/2001,SO45424,311,28165,6,1,1
259,2/12/2015,12/8/2001,SO45423,348,19997,6,1,1
260,2/12/2015,12/15/2001,SO45422,310,28198,6,1,1
261,2/13/2015,1/7/2002,SO45428,346,11414,10,1,1
262,2/13/2015,11/15/2001,SO45427,349,29481,8,1,1
263,2/13/2015,12/19/2001,SO45425,310,15056,10,1,1
264,2/13/2015,11/6/2001,SO45431,311,28013,6,1,1
265,2/13/2015,12/14/2001,SO45429,310,28129,6,1,1
266,2/13/2015,11/7/2001,SO45430,312,28176,6,1,1
267,2/14/2015,1/25/2002,SO45433,310,12547,7,1,1
268,2/14/2015,11/10/2001,SO45439,326,25823,9,1,1
269,2/14/2015,12/28/2001,SO45435,336,20562,10,1,1
270,2/14/2015,10/21/2001,SO45436,312,28130,6,1,1
271,2/14/2015,1/19/2002,SO45437,312,28169,6,1,1
272,2/14/2015,1/16/2002,SO45434,311,11252,4,1,1
273,2/14/2015,10/21/2001,SO45438,310,29334,1,1,1
274,2/14/2015,12/22/2001,SO45432,312,14167,8,1,1
275,2/15/2015,12/25/2001,SO45444,310,19102,9,1,1
276,2/15/2015,10/22/2001,SO45440,312,14198,8,1,1
277,2/15/2015,1/22/2002,SO45441,312,11216,1,1,1
278,2/15/2015,12/11/2001,SO45443,313,29350,4,1,1
279,2/15/2015,1/31/2002,SO45442,314,29335,1,1,1
280,2/15/2015,10/29/2001,SO45445,310,19105,9,1,1
281,2/16/2015,10/31/2001,SO45447,313,19558,9,1,1
282,2/16/2015,12/21/2001,SO45446,345,25990,1,1,1
283,2/16/2015,1/31/2002,SO45448,324,25718,9,1,1
284,2/17/2015,1/28/2002,SO45450,312,28624,6,1,1
285,2/17/2015,1/5/2002,SO45452,314,19559,9,1,1
286,2/17/2015,1/18/2002,SO45451,311,29279,4,1,1
287,2/17/2015,1/12/2002,SO45449,310,14189,8,1,1
288,2/18/2015,10/24/2001,SO45453,311,12549,7,1,1
289,2/18/2015,10/22/2001,SO45454,312,23074,6,1,1
290,2/19/2015,12/27/2001,SO45458,311,19599,9,1,1
291,2/19/2015,1/14/2002,SO45459,310,19605,9,1,1
292,2/19/2015,11/28/2001,SO45457,313,27752,6,1,1
293,2/19/2015,1/9/2002,SO45455,310,14163,8,1,1
294,2/19/2015,11/13/2001,SO45456,312,23113,6,1,1
295,2/20/2015,11/10/2001,SO45461,311,28646,6,1,1
296,2/20/2015,1/7/2002,SO45464,314,19586,9,1,1
297,2/20/2015,12/11/2001,SO45465,342,25819,9,1,1
298,2/20/2015,1/9/2002,SO45462,310,28647,6,1,1
299,2/20/2015,1/30/2002,SO45463,312,11171,4,1,1
300,2/21/2015,12/10/2001,SO45466,311,19611,9,1,1
301,2/22/2015,12/6/2001,SO45475,313,19601,9,1,1
302,2/22/2015,11/24/2001,SO45470,312,28177,6,1,1
303,2/22/2015,12/23/2001,SO45474,310,19595,9,1,1
304,2/22/2015,11/27/2001,SO45467,345,11422,10,1,1
305,2/22/2015,12/16/2001,SO45471,313,29280,1,1,1
306,2/22/2015,2/1/2002,SO45469,350,19989,6,1,1
307,2/22/2015,1/24/2002,SO45468,311,23164,6,1,1
308,2/22/2015,12/22/2001,SO45472,313,19095,9,1,1
309,2/22/2015,12/15/2001,SO45473,310,19592,9,1,1
310,2/22/2015,12/21/2001,SO45476,314,19614,9,1,1
311,2/23/2015,1/20/2002,SO45477,313,14160,8,1,1
312,2/23/2015,11/1/2001,SO45478,313,29354,1,1,1
313,2/23/2015,2/4/2002,SO45480,313,19564,9,1,1
314,2/23/2015,11/5/2001,SO45481,313,19563,9,1,1
315,2/23/2015,11/4/2001,SO45479,313,19099,9,1,1
316,2/24/2015,12/6/2001,SO45483,314,14181,8,1,1
317,2/24/2015,11/17/2001,SO45482,310,12522,7,1,1
318,2/24/2015,12/28/2001,SO45486,324,14737,1,1,1
319,2/24/2015,1/25/2002,SO45490,313,22976,6,1,1
320,2/24/2015,12/15/2001,SO45485,312,11257,4,1,1
321,2/24/2015,12/28/2001,SO45484,313,23267,6,1,1
322,2/24/2015,12/7/2001,SO45488,311,19577,9,1,1
323,2/24/2015,11/13/2001,SO45487,313,19556,9,1,1
324,2/24/2015,1/1/2002,SO45489,310,19602,9,1,1
325,2/25/2015,11/21/2001,SO45492,330,19429,8,1,1
326,2/25/2015,1/11/2002,SO45491,311,27672,6,1,1
327,2/25/2015,12/3/2001,SO45494,310,19609,9,1,1
328,2/25/2015,11/20/2001,SO45495,342,25821,9,1,1
329,2/25/2015,11/22/2001,SO45493,320,14731,4,1,1
330,2/26/2015,1/10/2002,SO45499,314,28626,6,1,1
331,2/26/2015,12/4/2001,SO45505,313,19593,9,1,1
332,2/26/2015,10/29/2001,SO45506,311,19615,9,1,1
333,2/26/2015,2/4/2002,SO45501,350,25993,1,1,1
334,2/26/2015,11/14/2001,SO45497,311,28354,6,1,1
335,2/26/2015,11/30/2001,SO45503,314,22995,6,1,1
336,2/26/2015,11/1/2001,SO45504,340,14730,4,1,1
337,2/26/2015,12/7/2001,SO45498,312,28574,6,1,1
338,2/26/2015,2/7/2002,SO45496,314,29340,6,1,1
339,2/26/2015,11/25/2001,SO45507,314,19616,9,1,1
340,2/26/2015,11/10/2001,SO45502,314,28173,6,1,1
341,2/27/2015,1/25/2002,SO45510,310,22998,6,1,1
342,2/27/2015,12/18/2001,SO45508,310,12510,7,1,1
343,2/27/2015,1/23/2002,SO45509,310,14148,8,1,1
344,2/28/2015,2/3/2002,SO45515,310,19557,9,1,1
345,2/28/2015,11/16/2001,SO45513,348,25996,4,1,1
346,2/28/2015,12/29/2001,SO45512,312,11175,4,1,1
347,2/28/2015,1/15/2002,SO45511,311,12523,7,1,1
348,2/28/2015,12/31/2001,SO45514,314,28051,6,1,1
349,3/1/2015,1/29/2002,SO45580,310,14428,8,1,1
350,3/1/2015,12/20/2001,SO45585,351,11905,9,1,1
351,3/1/2015,11/16/2001,SO45583,311,11274,1,1,1
352,3/1/2015,2/5/2002,SO45582,312,28656,6,1,1
353,3/1/2015,1/8/2002,SO45584,336,25828,9,1,1
354,3/1/2015,1/9/2002,SO45581,313,11263,1,1,1
355,3/2/2015,11/20/2001,SO45589,314,19784,9,1,1
356,3/2/2015,12/10/2001,SO45588,313,11275,4,1,1
357,3/2/2015,1/3/2002,SO45586,311,12613,7,1,1
358,3/2/2015,11/28/2001,SO45587,310,11531,4,1,1
359,3/2/2015,11/28/2001,SO45592,345,11897,9,1,1
360,3/2/2015,1/13/2002,SO45590,311,19763,9,1,1
361,3/2/2015,2/10/2002,SO45591,326,25831,9,1,1
362,3/3/2015,12/22/2001,SO45594,312,11282,1,1,1
363,3/3/2015,11/10/2001,SO45599,312,19794,9,1,1
364,3/3/2015,1/11/2002,SO45598,340,14744,1,1,1
365,3/3/2015,1/17/2002,SO45600,313,19628,9,1,1
366,3/3/2015,1/27/2002,SO45596,332,20564,10,1,1
367,3/3/2015,2/8/2002,SO45593,310,15118,10,1,1
368,3/3/2015,2/1/2002,SO45601,348,11893,9,1,1
369,3/3/2015,1/20/2002,SO45595,314,11515,4,1,1
370,3/4/2015,12/16/2001,SO45605,311,11626,4,1,1
371,3/4/2015,1/22/2002,SO45606,312,19967,9,1,1
372,3/4/2015,1/28/2002,SO45608,349,11896,9,1,1
373,3/4/2015,12/21/2001,SO45603,312,11296,1,1,1
374,3/4/2015,12/27/2001,SO45607,330,25830,9,1,1
375,3/4/2015,1/21/2002,SO45609,311,14774,8,1,1
376,3/4/2015,11/12/2001,SO45602,312,12607,7,1,1
377,3/4/2015,12/19/2001,SO45604,314,11317,1,1,1
378,3/5/2015,1/21/2002,SO45612,312,14795,8,1,1
379,3/5/2015,2/11/2002,SO45611,310,11535,1,1,1
380,3/5/2015,11/14/2001,SO45610,310,11303,1,1,1
381,3/6/2015,12/3/2001,SO45616,314,14800,8,1,1
382,3/6/2015,1/20/2002,SO45619,311,19787,9,1,1
383,3/6/2015,2/19/2002,SO45613,314,11522,1,1,1
384,3/6/2015,2/1/2002,SO45621,346,11768,9,1,1
385,3/6/2015,11/22/2001,SO45617,311,15354,10,1,1
386,3/6/2015,12/2/2001,SO45618,311,12618,7,1,1
387,3/6/2015,11/30/2001,SO45615,342,18137,7,1,1
388,3/6/2015,1/31/2002,SO45614,312,23385,6,1,1
389,3/6/2015,1/26/2002,SO45620,314,19951,9,1,1
390,3/7/2015,11/12/2001,SO45630,351,11899,9,1,1
391,3/7/2015,11/23/2001,SO45628,314,19795,9,1,1
392,3/7/2015,12/9/2001,SO45625,314,11307,4,1,1
393,3/7/2015,12/26/2001,SO45624,313,11291,4,1,1
394,3/7/2015,1/23/2002,SO45623,311,14769,8,1,1
395,3/7/2015,1/1/2002,SO45629,347,11892,9,1,1
396,3/7/2015,1/23/2002,SO45627,324,18039,7,1,1
397,3/7/2015,2/13/2002,SO45622,344,28470,7,1,1
398,3/7/2015,1/18/2002,SO45626,310,11259,1,1,1
399,3/8/2015,11/27/2001,SO45632,314,14775,8,1,1
400,3/8/2015,2/15/2002,SO45631,350,11237,8,1,1
401,3/8/2015,1/23/2002,SO45633,351,26011,4,1,1
402,3/8/2015,11/19/2001,SO45634,314,19766,9,1,1
403,3/9/2015,1/19/2002,SO45637,314,11525,1,1,1
404,3/9/2015,11/27/2001,SO45638,324,14746,4,1,1
405,3/9/2015,11/27/2001,SO45639,311,19782,9,1,1
406,3/9/2015,11/27/2001,SO45640,311,19964,9,1,1
407,3/9/2015,2/4/2002,SO45635,313,23351,6,1,1
408,3/9/2015,1/7/2002,SO45636,311,11302,1,1,1
409,3/10/2015,12/30/2001,SO45642,313,11623,4,1,1
410,3/10/2015,2/23/2002,SO45641,311,23306,6,1,1
411,3/11/2015,1/13/2002,SO45645,351,11482,10,1,1
412,3/11/2015,12/15/2001,SO45644,350,28458,7,1,1
413,3/11/2015,2/14/2002,SO45643,310,14541,8,1,1
414,3/11/2015,12/25/2001,SO45647,347,25997,4,1,1
415,3/11/2015,1/7/2002,SO45646,312,11289,4,1,1
416,3/11/2015,1/29/2002,SO45648,312,19791,9,1,1
417,3/12/2015,1/15/2002,SO45649,310,11319,4,1,1
418,3/12/2015,12/31/2001,SO45653,347,11764,9,1,1
419,3/12/2015,11/17/2001,SO45650,312,28652,6,1,1
420,3/12/2015,11/13/2001,SO45652,334,25826,9,1,1
421,3/12/2015,2/6/2002,SO45651,311,19771,9,1,1
422,3/13/2015,1/14/2002,SO45660,312,19797,9,1,1
423,3/13/2015,12/22/2001,SO45659,349,26003,4,1,1
424,3/13/2015,2/18/2002,SO45662,350,11906,9,1,1
425,3/13/2015,2/11/2002,SO45655,312,11323,4,1,1
426,3/13/2015,2/1/2002,SO45661,342,25827,9,1,1
427,3/13/2015,2/7/2002,SO45654,348,28478,7,1,1
428,3/13/2015,2/24/2002,SO45658,312,11270,4,1,1
429,3/13/2015,12/5/2001,SO45656,313,11617,4,1,1
430,3/13/2015,12/22/2001,SO45663,347,11901,9,1,1
431,3/13/2015,11/20/2001,SO45657,311,11266,1,1,1
432,3/14/2015,1/9/2002,SO45665,346,26004,4,1,1
433,3/14/2015,12/26/2001,SO45667,314,19957,9,1,1
